OTU,OTU.code,kingdom,phylum,class,order,family,genus,species,Guild,Taxon_Level,Trophic_Mode,Growth_Morphology,Trait,Confidence_Ranking,Category.In.This.Study,Nreads.TES,Nreads.TOMA,Nreads.YKS,Nreads.SGD,Nreads.YSD,Nreads.YAKU,Nreads.YONA,Nreads.IRI,Nreads.North,Nreads.South,Nreads.All,betweenness.ALL,degree.ALL,closeness.ALL,eigenvector.centrality.ALL,degree.North,closeness.North,eigenvector.centrality.North,betweenness.North,degree.South,closeness.South,eigenvector.centrality.South,betweenness.South,betweenness.local.mean.ALL,betweenness.local.mean.North,betweenness.local.mean.South,degree.TES,betweenness.TES,eigenvector.centrality.TES,closeness.TES,degree.TOMA,betweenness.TOMA,eigenvector.centrality.TOMA,closeness.TOMA,degree.YKS,betweenness.YKS,eigenvector.centrality.YKS,closeness.YKS,degree.SGD,betweenness.SGD,eigenvector.centrality.SGD,closeness.SGD,degree.YSD,betweenness.YSD,eigenvector.centrality.YSD,closeness.YSD,degree.YAKU,betweenness.YAKU,eigenvector.centrality.YAKU,closeness.YAKU,degree.YONA,betweenness.YONA,eigenvector.centrality.YONA,closeness.YONA,degree.IRI,betweenness.IRI,eigenvector.centrality.IRI,closeness.IRI,dprime.TES,dprime.TOMA,dprime.YKS,dprime.SGD,dprime.YSD,dprime.YAKU,dprime.YONA,dprime.IRI,betweenness.weighted.ALL,betweenness.weighted.North,betweenness.weighted.South,betweenness.weighted.TES,betweenness.weighted.TOMA,betweenness.weighted.YKS,betweenness.weighted.SGD,betweenness.weighted.YSD,betweenness.weighted.YAKU,betweenness.weighted.YONA,betweenness.weighted.IRI,Category.col,betweenness.weighted.local.mean.ALL,betweenness.weighted.local.mean.North,betweenness.weighted.local.mean.South
F_4398,1107:9700:4408__T604__S_0264,Fungi,Ascomycota,Dothideomycetes,Tubeufiales,Tubeufiaceae,0,0,-,-,-,-,-,-,Others_Unknown,0,0,0,0,0,0,4,8,0,12,12,0.000304526,0.003629764,0.270042194,0.000303214,NA,NA,NA,NA,0.006802721,0.185022026,0,0.000713656,0.002081639,NA,0.002081639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.054135304,0.104971262,0.03030303,0.004163278,0.039184016,0.124920491,NA,NA,NA,NA,NA,NA,0.183880787,0.268631782,0.001939958,NA,0.003119058,NA,NA,NA,NA,NA,NA,0,0.010233718,grey60,0.005116859,NA,0.005116859
F_4399,1109:20327:9650__T604__S_1085,Fungi,Ascomycota,Dothideomycetes,Venturiales,Sympoventuriaceae,0,0,-,-,-,-,-,-,Others_Unknown,0,0,0,0,0,0,0,12,0,12,12,0,0,0.215189873,1.47E-05,NA,NA,NA,NA,0,0.127753304,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.007052349,0.051332243,NA,NA,NA,NA,NA,NA,NA,0.414036628,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,grey60,0,NA,0
F_4400,1107:20011:12264__T604__S_0920,Fungi,Ascomycota,Eurotiomycetes,0,0,0,0,-,-,-,-,-,-,Others_Unknown,0,0,0,0,0,0,0,12,0,12,12,2.43E-05,0.001814882,0.257383966,0.000165175,NA,NA,NA,NA,0.003401361,0.162995595,0,5.72E-05,0.001315683,NA,0.001315683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03030303,0.001315683,0.063709307,0.141278855,NA,NA,NA,NA,NA,NA,NA,0.190933199,0.000152525,NA,0.000242848,NA,NA,NA,NA,NA,NA,NA,0.004105708,grey60,0.004105708,NA,0.004105708
F_4401,1102:23693:15898__T604__S_0888,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,0,0,0,-,-,-,-,-,-,Others_Unknown,0,0,0,0,0,0,0,12,0,12,12,0,0,0.240506329,4.78E-05,NA,NA,NA,NA,0,0.145374449,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.025906475,0.093783573,NA,NA,NA,NA,NA,NA,NA,0.233250145,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,grey60,0,NA,0
F_4402,1101:4530:13173__T604__S_0093,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,0,0,-,-,-,-,-,-,Others_Unknown,0,0,0,0,0,12,0,0,0,12,12,5.23E-05,0.001814882,0.274261603,0.00072087,NA,NA,NA,NA,0.003401361,0.193832599,0,0.000139011,0.003902685,NA,0.003902685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.052631579,0.003902685,0.180206841,0.226121623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.126450091,NA,NA,0.000695466,NA,0.001264375,NA,NA,NA,NA,NA,0.039109804,NA,NA,grey60,0.039109804,NA,0.039109804
F_4403,1112:15195:18947__T593__S_0199,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,Cladophialophora_chaetospira,Undefined_Saprotroph,13,Saprotroph,Facultative_Yeast,NULL,Probable,Saprotroph,12,0,0,0,0,0,0,0,12,0,12,0,0,0.240506329,0.00052207,0,0.191881919,0,0,NA,NA,NA,NA,0,0,NA,0,0,0.053045756,0.078170325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18205972,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,goldenrod1,0,0,NA
F_4404,1101:15459:11767__T604__S_0885,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,0,0,Undefined_Saprotroph,7,Saprotroph,Mold,NULL,Possible,Saprotroph,0,0,0,0,5,0,0,7,0,12,12,0.001671177,0.003629764,0.291139241,0.001426402,NA,NA,NA,NA,0.006802721,0.220264317,0,0.004260425,0.001432443,NA,0.001432443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.092645803,0.117936168,NA,NA,NA,NA,NA,NA,NA,NA,0.03030303,0.002864886,0.095861719,0.208699752,NA,NA,NA,NA,0.106693152,NA,NA,0.110766025,0.01519996,NA,0.026871185,NA,NA,NA,NA,0,NA,NA,0.010826342,goldenrod1,0.005413171,NA,0.005413171
F_4405,1101:9395:15491__T604__S_1385,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,0,Dung_Saprotroph-Undefined_Saprotroph-Wood_Saprotroph,13,Saprotroph,NULL,"Mold,_Soft_Rot",Highly_Probable,Saprotroph,0,0,0,0,12,0,0,0,0,12,12,0.000347729,0.003629764,0.291139241,0.00327636,NA,NA,NA,NA,0.006802721,0.220264317,0,0.000876107,0.02327407,NA,0.02327407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.133333333,0.02327407,0.290444313,0.33771373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.098885226,NA,NA,NA,0.005006889,NA,0.008988688,NA,NA,NA,NA,0.153752702,NA,NA,NA,goldenrod1,0.153752702,NA,0.153752702
F_4406,2103:12942:2771__T593__S_0810,Fungi,Ascomycota,Eurotiomycetes,Phaeomoniellales,0,Phaeomoniella,0,Undefined_Saprotroph,13,Saprotroph,Facultative_Yeast,NULL,Probable,Saprotroph,0,0,0,0,4,0,8,0,0,12,12,0.000348096,0.001814882,0.291139241,0.001941984,NA,NA,NA,NA,0.003401361,0.220264317,0,0.000902893,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.134856952,0.19347659,NA,NA,NA,NA,0,0,0.069245913,0.130857896,NA,NA,NA,NA,NA,NA,NA,NA,0.047716098,NA,0.080629511,NA,0.005505989,NA,0.010177472,NA,NA,NA,NA,0,NA,0,NA,goldenrod1,0,NA,0
F_4407,2101:9582:15356__T593__S_0651,Fungi,Ascomycota,Leotiomycetes,0,0,Leohumicola,0,Undefined_Saprotroph,13,Saprotroph,NULL,NULL,Probable,Saprotroph,2,0,0,5,3,0,0,2,7,5,12,0.001873245,0.005444646,0.316455696,0.002213342,0.002967359,0.236162362,0,0.000801837,0.003401361,0.207048458,0,0.001182954,0,0,0,0,0,0.105355328,0.167802229,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.071753612,0.152471443,0,0,0.11175449,0.151797609,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.046865335,0.132675066,0.075060652,NA,NA,0.146123298,0.100831623,NA,NA,0.144299763,0.014531585,0.005323556,0.004929516,0,NA,NA,0,0,NA,NA,0,goldenrod1,0,0,0
